r                        V(r)
2.852852852852852950e-01 3.243743234061891437e+08
2.902902902902902982e-01 2.806585043960888386e+08
2.952952952952953014e-01 2.438446030825124085e+08
3.003003003003003046e-01 2.126622085335423946e+08
3.053053053053053079e-01 1.861054980925316215e+08
3.103103103103103111e-01 1.633729288313581645e+08
3.153153153153153143e-01 1.438216137101479769e+08
3.203203203203203175e-01 1.269326175973672569e+08
3.253253253253253208e-01 1.122844163326537609e+08
3.303303303303303240e-01 9.953248953992539644e+07
3.353353353353353272e-01 8.839354578247556090e+07
3.403403403403403304e-01 7.863326366675332189e+07
3.453453453453453337e-01 7.005671473097729683e+07
3.503503503503503369e-01 6.250084185456012189e+07
3.553553553553553401e-01 5.582852080305871367e+07
3.603603603603603434e-01 4.992384694950921834e+07
3.653653653653653466e-01 4.468837468965765089e+07
3.703703703703703498e-01 4.003810120470800996e+07
3.753753753753753530e-01 3.590103455909060687e+07
3.803803803803803563e-01 3.221522270208515972e+07
3.853853853853853595e-01 2.892714774532435834e+07
3.903903903903903627e-01 2.599041110741818696e+07
3.953953953953953659e-01 2.336465137763889134e+07
4.004004004004003692e-01 2.101464926194662973e+07
4.054054054054054279e-01 1.890958363972145319e+07
4.104104104104104311e-01 1.702241025559528172e+07
4.154154154154154344e-01 1.532934040750215203e+07
4.204204204204204376e-01 1.380940155466739833e+07
4.254254254254254408e-01 1.244406534985460341e+07
4.304304304304304440e-01 1.121693142114940844e+07
4.354354354354354473e-01 1.011345745974380895e+07
4.404404404404404505e-01 9.120727941817075014e+06
4.454454454454454537e-01 8.227255224869011901e+06
4.504504504504504570e-01 7.422807889079526998e+06
4.554554554554554602e-01 6.698262102344295941e+06
4.604604604604604634e-01 6.045472520121279173e+06
4.654654654654654666e-01 5.457159824416557327e+06
4.704704704704704699e-01 4.926812488539773040e+06
4.754754754754754731e-01 4.448600747961269692e+06
4.804804804804804763e-01 4.017301080260357354e+06
4.854854854854854795e-01 3.628229762637688313e+06
4.904904904904904828e-01 3.277184294770202599e+06
4.954954954954954860e-01 2.960391656659238972e+06
5.005005005005005447e-01 2.674462522539120633e+06
5.055055055055055480e-01 2.416350678460917436e+06
5.105105105105105512e-01 2.183316997331159189e+06
5.155155155155155544e-01 1.972897414583946345e+06
5.205205205205205576e-01 1.782874423220939701e+06
5.255255255255255609e-01 1.611251671039294917e+06
5.305305305305305641e-01 1.456231297413555440e+06
5.355355355355355673e-01 1.316193693581155268e+06
5.405405405405405705e-01 1.189679410294976318e+06
5.455455455455455738e-01 1.075372971013521077e+06
5.505505505505505770e-01 9.720883783766862471e+05
5.555555555555555802e-01 8.787561272892500274e+05
5.605605605605605835e-01 7.944115601083403453e+05
5.655655655655655867e-01 7.181844187083498109e+05
5.705705705705705899e-01 6.492894649977246299e+05
5.755755755755755931e-01 5.870180561398670543e+05
5.805805805805805964e-01 5.307305735823597061e+05
5.855855855855855996e-01 4.798496162759817089e+05
5.905905905905906028e-01 4.338538783803806291e+05
5.955955955955956060e-01 3.922726404877522145e+05
6.006006006006006093e-01 3.546808111037304043e+05
6.056056056056056125e-01 3.206944619379150099e+05
6.106106106106106157e-01 2.899668065882530645e+05
6.156156156156156189e-01 2.621845775512444670e+05
6.206206206206206222e-01 2.370647612376873149e+05
6.256256256256256254e-01 2.143516548940529465e+05
6.306306306306306286e-01 1.938142130856220610e+05
6.356356356356356319e-01 1.752436547439635906e+05
6.406406406406406351e-01 1.584513047659301083e+05
6.456456456456456383e-01 1.432666468157381169e+05
6.506506506506506415e-01 1.295355663623531000e+05
6.556556556556556448e-01 1.171187651132870815e+05
6.606606606606606480e-01 1.058903299111167871e+05
6.656656656656656512e-01 9.573644086526067986e+04
6.706706706706706544e-01 8.655420502060902072e+04
6.756756756756756577e-01 7.825060323571634945e+04
6.806806806806806609e-01 7.074153917346280650e+04
6.856856856856856641e-01 6.395098041143539740e+04
6.906906906906906674e-01 5.781018267113994807e+04
6.956956956956956706e-01 5.225698905639439181e+04
7.007007007007006738e-01 4.723519699242489150e+04
7.057057057057056770e-01 4.269398627767620928e+04
7.107107107107106803e-01 3.858740230852297100e+04
7.157157157157156835e-01 3.487388912038608396e+04
7.207207207207206867e-01 3.151586741387996881e+04
7.257257257257256899e-01 2.847935320748634331e+04
7.307307307307306932e-01 2.573361318418929659e+04
7.357357357357356964e-01 2.325085318327049026e+04
7.407407407407406996e-01 2.100593663431492678e+04
7.457457457457457028e-01 1.897613004222968812e+04
7.507507507507507061e-01 1.714087291315602852e+04
7.557557557557557093e-01 1.548156976462440252e+04
7.607607607607607125e-01 1.398140209191892063e+04
7.657657657657657158e-01 1.262515836885368481e+04
7.707707707707707190e-01 1.139908034724050231e+04
7.757757757757757222e-01 1.029072408724147863e+04
7.807807807807807254e-01 9.288834302345449032e+03
7.857857857857857287e-01 8.383230739498580078e+03
7.907907907907907319e-01 7.564705438408118425e+03
7.957957957957957351e-01 6.824929825531746246e+03
8.008008008008007383e-01 6.156370698939242175e+03
8.058058058058058526e-01 5.552214251147751384e+03
8.108108108108108558e-01 5.006297359141357447e+03
8.158158158158158590e-01 4.513045444948804288e+03
