costheta    P(costheta)
-9.647140519923043112e-01 9.047653902927108582e-01
-8.954050820037875447e-01 1.345952546695756036e+00
-8.260961120152706672e-01 1.635377955689485630e+00
-7.567871420267537896e-01 1.600547390710295170e+00
-6.874781720382370231e-01 1.481957609947822441e+00
-6.181692020497201456e-01 1.323561469209137531e+00
-5.488602320612032681e-01 1.210776782609860547e+00
-4.795512620726864461e-01 1.161848131805763407e+00
-4.102422920841695686e-01 1.108772985170810799e+00
-3.409333220956526911e-01 9.279857669455027214e-01
-2.716243521071358691e-01 6.145106821328137903e-01
-2.023153821186190471e-01 3.607451372844447390e-01
-1.330064121301021696e-01 2.346916640264318787e-01
-6.369744214158534756e-02 1.832751157238216577e-01
5.611527846931529950e-03 1.401515590829219837e-01
7.492049783544840746e-02 1.020037974390500535e-01
1.442294678239651740e-01 4.975794997026831978e-02
2.135384378124820515e-01 2.902547081598976300e-02
2.828474078009989290e-01 1.078088916022480401e-02
3.521563777895157510e-01 1.658598332342274854e-03
